	Row	Sample	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	First Attempt	Incorrects	Hints	Corrects	Condition	KC (Original)	Opportunity (Original)	Predicted Error Rate (Original)
0	84	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION1)	1996-02-01 00:18:59	1996-02-01 00:18:59	1996-02-01 00:18:59	1996-02-01 00:18:59	0	0	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	4	0.0835
1	85	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION2)	1996-02-01 00:18:59	1996-02-01 00:19:23	1996-02-01 00:19:23	1996-02-01 00:19:23	24	24	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	5	0.0804
2	86	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION3)	1996-02-01 00:19:23	1996-02-01 00:19:45	1996-02-01 00:19:45	1996-02-01 00:19:45	22	22	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	6	0.0773
3	87	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	DESIGNING_A_QUILT	1	(WHITE-AREA QUESTION1)	1996-02-01 00:19:45	1996-02-01 00:19:59	1996-02-01 00:19:59	1996-02-01 00:19:59	14	14	.	correct	0	0	1	.	ALT:COMPOSE-BY-MULTIPLICATION	2	0.1322
4	88	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	DESIGNING_A_QUILT	1	(WHITE-AREA QUESTION2)	1996-02-01 00:21:38	1996-02-01 00:21:51	1996-02-01 00:21:51	1996-02-01 00:21:51	13	13	.	correct	0	0	1	.	ALT:COMPOSE-BY-MULTIPLICATION	4	0.1083
5	89	All Data	Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	Unit Area	DESIGNING_A_QUILT	1	(WHITE-AREA QUESTION3)	1996-02-01 00:22:12	1996-02-01 00:22:16	1996-02-01 00:22:16	1996-02-01 00:22:16	4	4	.	correct	0	0	1	.	ALT:COMPOSE-BY-MULTIPLICATION	6	0.0882
6	154	All Data	Stu_d172f184e6b8890fcdee6a7a3169e9c4	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION1)	1996-02-01 00:00:50	1996-02-01 00:00:50	1996-02-01 00:00:50	1996-02-01 00:00:50	0	0	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	1	0.1892
7	155	All Data	Stu_d172f184e6b8890fcdee6a7a3169e9c4	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION2)	1996-02-01 00:01:24	1996-02-01 00:01:30	1996-02-01 00:01:31	1996-02-01 00:01:31	7	.	7	incorrect	1	0	1	.	ALT:TRIANGLE-AREA	2	0.1828
8	156	All Data	Stu_d172f184e6b8890fcdee6a7a3169e9c4	Unit Area	DESIGNING_A_QUILT	1	(AREA QUESTION3)	1996-02-01 00:01:56	1996-02-01 00:02:02	1996-02-01 00:02:02	1996-02-01 00:02:02	6	6	.	correct	0	0	1	.	ALT:TRIANGLE-AREA	3	0.1766
9	157	All Data	Stu_d172f184e6b8890fcdee6a7a3169e9c4	Unit Area	DESIGNING_A_QUILT	1	(WHITE-AREA QUESTION1)	1996-02-01 00:00:50	1996-02-01 00:01:01	1996-02-01 00:01:01	1996-02-01 00:01:01	11	11	.	correct	0	0	1	.	ALT:COMPOSE-BY-MULTIPLICATION	1	0.2779
