Anon Student Id	r0	r1	r2	r3	r4	r5
Stu_02ee1b3f31a6f6a7f4b8012298b2395e	1	1	0	1	1	1
Stu_1afbee9e3e83bb801b589108fb46028a	1	1	1	1	1	1
Stu_1b394ff128c045b7d4ad4f6e83933b72	1	1	1	1	1	1
Stu_1d6b91d4b593d7e4f5622275b3295663	1	0	1	1	0	0
Stu_2ebe6a7530ff11f2c0b9b807faf0a0a3	1	1	1	1	1	1
Stu_4e8a5be7f2663d2ccccfb59c684d5452	0	0	1	0	0	1
Stu_58d8c63d6e15a65f05b2e59e0a285d8f	1	0	1	1	1	1
Stu_671ccc3ef2c091b6b6d76b34e3d19a8f	1	1	1	1	1	1
Stu_706a76f06dfa563c7ea573d994ca5405	1	1	1	1	1	1
Stu_733990addc60bb852997e415bcc9577e	0	1	1	1	1	1
Stu_7dadea175538760bab3eb0216d91e3ef	1	1	1	1	1	1
Stu_8150b92d145a08727bc5a1e77eade01d	1	1	1	1	1	1
Stu_87d1548f2cd78b7b8e334802016e700e	1	1	1	1	1	1
Stu_98e7261dfe23e96d8982adfd203aa086	1	1	1	1	0	1
Stu_9fb3481981a38a7299e9b3c96e0d0218	0	1	0	1	0	1
Stu_ac89a0ef007fb0c8c920b786e2822d83	1	1	1	1	1	1
Stu_ac8f950f416639e014a1294ac59b4086	1	1	0	1	1	0
Stu_ad3610752c4af1c3cac6638ef588e02b	1	1	1	1	1	1
Stu_c232f8b37b15ea9fce7afc6b73df17bb	1	1	1	1	1	1
Stu_c451386562a85a0cc50c36d6df6db731	0	0	0	1	0	0
Stu_ca9efbdfd732adc02df2ab44092e1e85	1	1	1	1	1	1
Stu_cf6b3f01b1bf297da154aaa975fbd9c1	1	0	1	1	1	0
Stu_d172f184e6b8890fcdee6a7a3169e9c4	1	0	1	1	1	0
Stu_d5290be96a793ac550b7d2b0b31e4244	1	1	1	1	1	1
Stu_d7f18a5fa205a889b0c5b0b56a7127d3	1	1	1	1	1	1
Stu_d84aa55d6a524370492c9ed6d401919a	1	1	1	1	1	1
Stu_e0e22d49d6bb0a1fe71e19d8d60221ae	1	1	1	1	1	1
Stu_e242582bd5729de82485e42d69e22109	1	1	1	0	1	1
Stu_f01773c1237a0acdf4170202bf5b5c32	0	1	1	1	1	1
